source_text,target_text
find the organisation ids and details of the organisations which are involved in,"grants.merge(organisations, on='organisation_id').groupby(['organisation_id', 'organisation_details']).filter(lambda x: x['grant_amount'].sum() > 6000)[['organisation_id', 'organisation_details']].drop_duplicates()"
what are the ids and details for all organizations that have grants of more than 6000 dollars?,"grants.merge(organisations, on='organisation_id').groupby(['organisation_id', 'organisation_details']).filter(lambda x: x['grant_amount'].sum() > 6000)[['organisation_id', 'organisation_details']].drop_duplicates()"
what is the organisation type and id of the organisation which has the most number of research staff?,"pd.merge(organisations, research_staff, left_on='organisation_id', right_on='employer_organisation_id').groupby(['organisation_type', 'organisation_id']).size().reset_index(name='count').sort_values('count', ascending=false).iloc[0][['organisation_type', 'organisation_id']]"
what is the type and id of the organization that has the most research staff?,"pd.merge(organisations, research_staff, left_on='organisation_id', right_on='employer_organisation_id').groupby(['organisation_type', 'organisation_id']).size().reset_index(name='count').sort_values('count', ascending=false).iloc[0][['organisation_type', 'organisation_id']]"
which organisation type hires most research staff?,"pd.merge(organisations, research_staff, left_on='organisation_id', right_on='employer_organisation_id').groupby('organisation_type').size().idxmax()"
what is the type of the organization with the most research staff?,"pd.merge(organisations, research_staff, left_on='organisation_id', right_on='employer_organisation_id').groupby('organisation_type').size().idxmax()"
find out the send dates of the documents with the grant amount of more than 5000 were granted by organisation type described,"pd.merge(pd.merge(pd.merge(documents, grants, on='grant_id'), organisations, on='organisation_id'), organisation_types, on='organisation_type').loc[lambda x: (x['grant_amount'] > 5000) & (x['organisation_type_description'] == 'research'), 'sent_date']"
what are the send dates for all documents that have a grant amount of more than 5000 and are involved in research?,"pd.merge(pd.merge(pd.merge(documents, grants, on='grant_id'), organisations, on='organisation_id'), organisation_types, on='organisation_type').loc[lambda x: (x['grant_amount'] > 5000) & (x['organisation_type_description'] == 'research'), 'sent_date']"
what are the response received dates for the documents described as 'regular' or granted with more than 100?,"pd.merge(pd.merge(documents, document_types, on='document_type_code'), grants, on='grant_id').loc[lambda x: (x['document_description']=='regular') | (x['grant_amount']>100), 'response_received_date']"
what is the response received date for the document described as regular that was granted more than 100 dollars?,"pd.merge(pd.merge(documents, document_types, on='document_type_code'), grants, on='grant_id').loc[lambda x: (x['document_description']=='regular') | (x['grant_amount']>100), 'response_received_date']"
list the project details of the projects which did not hire any staff for a researcher role.,"projects.loc[~projects['project_id'].isin(project_staff.loc[project_staff['role_code']=='researcher', 'project_id']), 'project_details']"
what are the details for all projects that did not hire any staff in a research role?,"projects.loc[~projects['project_id'].isin(project_staff.loc[project_staff['role_code']=='researcher', 'project_id']), 'project_details']"
"what are the task details, task id and project id for the projects which are detailed as 'omnis' or  have more than 2 outcomes?","pd.concat([pd.merge(tasks, projects, on='project_id').query(""project_details=='omnis'""), pd.merge(pd.merge(tasks, projects, on='project_id'), project_outcomes, on='project_id').groupby('project_id').filter(lambda x: len(x) > 2)], sort=false) [['task_details', 'task_id', 'project_id']].drop_duplicates()"
"what are the task details, task ids, and project ids for the progrects that are detailed as 'omnis' or have at least 3 outcomes?","pd.concat([pd.merge(tasks, projects, on='project_id').query(""project_details=='omnis'""), pd.merge(pd.merge(tasks, projects, on='project_id'), project_outcomes, on='project_id').groupby('project_id').filter(lambda x: len(x) > 2)], sort=false) [['task_details', 'task_id', 'project_id']].drop_duplicates()"
"when do all the researcher role staff start to work, and when do they stop working?","project_staff.loc[lambda x: x['role_code']=='researcher', ['date_from', 'date_to']]"
when did researchers start and stop working?,"project_staff.loc[lambda x: x['role_code']=='researcher', ['date_from', 'date_to']]"
how many kinds of roles are there for the staff?,project_staff['role_code'].nunique()
how many different roles are there on the project staff?,project_staff['role_code'].nunique()
what is the total amount of grants given by each organisations? also list the organisation id.,grants.groupby('organisation_id')['grant_amount'].sum()
what is the total amount of grant money given to each organization and what is its id?,grants.groupby('organisation_id')['grant_amount'].sum()
list the project details of the projects with the research outcome described with the substring 'published'.,"pd.merge(pd.merge(projects, project_outcomes, on='project_id'), research_outcomes, on='outcome_code').loc[lambda x: x['outcome_description'].str.contains('published'), 'project_details']"
what are the details for the project whose research has been published?,"pd.merge(pd.merge(projects, project_outcomes, on='project_id'), research_outcomes, on='outcome_code').loc[lambda x: x['outcome_description'].str.contains('published'), 'project_details']"
how many staff does each project has? list the project id and the number in an ascending order.,"pd.merge(project_staff, projects, on='project_id').groupby('project_id').size().sort_values().reset_index(name='count')"
"for each project id, how many staff does it have? list them in increasing order.","pd.merge(project_staff, projects, on='project_id').groupby('project_id').size().sort_values().reset_index(name='count')"
what is the complete description of the researcher role.,"staff_roles.loc[lambda x: x['role_code']=='researcher', 'role_description']"
what is the complete description of the job of a researcher?,"staff_roles.loc[lambda x: x['role_code']=='researcher', 'role_description']"
when did the first staff for the projects started working?,project_staff.sort_values('date_from').iloc[0]['date_from']
when did the first staff member start working?,project_staff.sort_values('date_from').iloc[0]['date_from']
which project made the most number of outcomes? list the project details and the project id.,"pd.merge(projects, project_outcomes, on='project_id').groupby('project_id').size().idxmax()"
what are the details and id of the project with the most outcomes?,"pd.merge(projects, project_outcomes, on='project_id').groupby('project_id').size().idxmax()"
which projects have no outcome? list the project details.,"projects.loc[~projects['project_id'].isin(project_outcomes['project_id']), 'project_details']"
what are the details of the project with no outcomes?,"projects.loc[~projects['project_id'].isin(project_outcomes['project_id']), 'project_details']"
"which organisation hired the most number of research staff? list the organisation id, type and detail.","pd.merge(organisations, research_staff, left_on='organisation_id', right_on='employer_organisation_id').groupby(['organisation_id', 'organisation_type', 'organisation_details']).size().sort_values(ascending=false).reset_index().iloc[0]"
"what are the ids, types, and details of the organization with the most research staff?","pd.merge(organisations, research_staff, left_on='organisation_id', right_on='employer_organisation_id').groupby(['organisation_id', 'organisation_type', 'organisation_details']).size().sort_values(ascending=false).reset_index().iloc[0]"
show the role description and the id of the project staff involved in most number of project outcomes?,"pd.merge(pd.merge(staff_roles, project_staff, on='role_code'), project_outcomes, on='project_id').groupby('staff_id').size().sort_values(ascending=false).reset_index(name='count').iloc[0][['role_description', 'staff_id']]"
"for each staff id, what is the description of the role that is involved with the most number of projects?","pd.merge(pd.merge(staff_roles, project_staff, on='role_code'), project_outcomes, on='project_id').groupby('staff_id').size().sort_values(ascending=false).reset_index(name='count').iloc[0][['role_description', 'staff_id']]"
which document type is described with the prefix 'initial'?,"document_types.loc[lambda x: x['document_description'].str.startswith('initial'), 'document_type_code']"
what is the type of the document whose description starts with the word 'initial'?,"document_types.loc[lambda x: x['document_description'].str.startswith('initial'), 'document_type_code']"
"for grants with both documents described as 'regular' and documents described as 'initial application', list its start date.","pd.merge(pd.merge(grants, documents, on='grant_id'), document_types, on='document_type_code').loc[lambda x: x['document_description']=='regular', 'grant_start_date'].unique() & pd.merge(pd.merge(grants, documents, on='grant_id'), document_types, on='document_type_code').loc[lambda x: x['document_description']=='initial application', 'grant_start_date'].unique()"
"for grants that have descriptions of regular and initial applications, what are their start dates?","pd.merge(pd.merge(grants, documents, on='grant_id'), document_types, on='document_type_code').loc[lambda x: x['document_description']=='regular', 'grant_start_date'].unique() & pd.merge(pd.merge(grants, documents, on='grant_id'), document_types, on='document_type_code').loc[lambda x: x['document_description']=='initial application', 'grant_start_date'].unique()"
how many documents can one grant have at most? list the grant id and number.,"documents.groupby('grant_id').size().nlargest(1).reset_index(name='count')[['grant_id', 'count']]"
"for each grant id, how many documents does it have, and which one has the most?","documents.groupby('grant_id').size().nlargest(1).reset_index(name='count')[['grant_id', 'count']]"
find the organisation type description of the organisation detailed as 'quo'.,"pd.merge(organisation_types, organisations, on='organisation_type').loc[lambda x: x['organisation_details']=='quo', 'organisation_type_description']"
what is the type description of the organization whose detail is listed as 'quo'?,"pd.merge(organisation_types, organisations, on='organisation_type').loc[lambda x: x['organisation_details']=='quo', 'organisation_type_description']"
what are all the details of the organisations described as 'sponsor'? sort the result in an ascending order.,"pd.merge(organisations, organisation_types, on='organisation_type').loc[lambda x: x['organisation_type_description']=='sponsor'].sort_values('organisation_details')['organisation_details']"
what are the details of all organizations that are described as sponsors and sort the results in ascending order?,"pd.merge(organisations, organisation_types, on='organisation_type').loc[lambda x: x['organisation_type_description']=='sponsor'].sort_values('organisation_details')['organisation_details']"
how many patent outcomes are generated from all the projects?,(project_outcomes['outcome_code'] == 'patent').sum()
how many patents outcomes were listed for all the projects?,(project_outcomes['outcome_code'] == 'patent').sum()
how many project staff worked as leaders or started working before '1989-04-24 23:51:54'?,((project_staff['role_code']=='leader')|(project_staff['date_from']<'1989-04-24 23:51:54')).sum()
how many project members were leaders or started working before '1989-04-24 23:51:54'?,((project_staff['role_code']=='leader')|(project_staff['date_from']<'1989-04-24 23:51:54')).sum()
what is the last date of the staff leaving the projects?,"project_staff.sort_values('date_to', ascending=false).iloc[0]['date_to']"
what is the last date that a staff member left a project?,"project_staff.sort_values('date_to', ascending=false).iloc[0]['date_to']"
what are the result description of the project whose detail is 'sint'?,"pd.merge(pd.merge(research_outcomes, project_outcomes, on='outcome_code'), projects, on='project_id').loc[lambda x: x['project_details']=='sint', 'outcome_description']"
what is the description for the results whose project detail is 'sint'?,"pd.merge(pd.merge(research_outcomes, project_outcomes, on='outcome_code'), projects, on='project_id').loc[lambda x: x['project_details']=='sint', 'outcome_description']"
"list the organisation id with the maximum outcome count, and the count.","projects.merge(project_outcomes, on='project_id').groupby('organisation_id').size().sort_values(ascending=false).iloc[[0]]"
what is the id of the organization with the maximum number of outcomes and how many outcomes are there?,"projects.merge(project_outcomes, on='project_id').groupby('organisation_id').size().sort_values(ascending=false).iloc[[0]]"
list the project details of the projects launched by the organisation,"projects.loc[lambda x: x['organisation_id'].isin(projects.groupby('organisation_id').size().sort_values(ascending=false).index[0:1]), 'project_details']"
what are the details for the projects which were launched by the organization with the most projects?,"projects.loc[lambda x: x['organisation_id'].isin(projects.groupby('organisation_id').size().sort_values(ascending=false).index[0:1]), 'project_details']"
"list the research staff details, and order in ascending order.",research_staff.sort_values('staff_details')['staff_details']
what details are there on the research staff? list the result in ascending alphabetical order.,research_staff.sort_values('staff_details')['staff_details']
how many tasks are there in total?,tasks.shape[0]
how many tasks are there?,tasks.shape[0]
how many tasks does each project have? list the task count and the project detail.,"pd.merge(projects, tasks, on='project_id').groupby('project_id').agg({'project_details': 'first', '*': 'count'})"
"for each project id, how many tasks are there?","pd.merge(projects, tasks, on='project_id').groupby('project_id').agg({'project_details': 'first', '*': 'count'})"
what are the staff roles of the staff who,"project_staff.loc[(project_staff['date_from'] > '2003-04-19 15:06:20') & (project_staff['date_to'] < '2016-03-15 00:33:18'), 'role_code']"
what roles did staff members play between '2003-04-19 15:06:20' and '2016-03-15 00:33:18'?,"project_staff.loc[(project_staff['date_from'] > '2003-04-19 15:06:20') & (project_staff['date_to'] < '2016-03-15 00:33:18'), 'role_code']"
what are the descriptions of all the project outcomes?,"pd.merge(research_outcomes, project_outcomes, on='outcome_code')['outcome_description']"
list the description of the outcomes for all projects.,"pd.merge(research_outcomes, project_outcomes, on='outcome_code')['outcome_description']"
which role is most common for the staff?,project_staff.groupby('role_code').size().sort_values(ascending=false).index[0]
what is the most common role for the staff?,project_staff.groupby('role_code').size().sort_values(ascending=false).index[0]
how many friends does dan have?,"pd.merge(person, personfriend, on='name').loc[lambda x: x['name']=='dan', 'friend'].count()"
how many females does this network has?,(person['gender'] == 'female').sum()
how many females are in the network?,(person['gender'] == 'female').sum()
what is the average age for all person?,person['age'].mean()
what is the average age for all people in the table?,person['age'].mean()
how many different cities are they from?,person['city'].nunique()
how many different cities do people originate from?,person['city'].nunique()
how many type of jobs do they have?,person['job'].nunique()
how many different jobs are listed?,person['job'].nunique()
who is the oldest person?,"person.loc[person['age'] == person['age'].max(), 'name']"
what is the name of the person who is the oldest?,"person.loc[person['age'] == person['age'].max(), 'name']"
who is the oldest person whose job is student?,"person.loc[lambda x: (x['job']=='student') & (x['age']==x.loc[x['job']=='student', 'age'].max()), 'name']"
what is the name of the oldest student?,"person.loc[lambda x: (x['job']=='student') & (x['age']==x.loc[x['job']=='student', 'age'].max()), 'name']"
who is the youngest male?,"person.loc[lambda x: (x['gender']=='male') & (x['age']==person.loc[lambda y: y['gender']=='male', 'age'].min()), 'name']"
what is the name of the youngest male?,"person.loc[lambda x: (x['gender']=='male') & (x['age']==person.loc[lambda y: y['gender']=='male', 'age'].min()), 'name']"
how old is the doctor named zach?,"person.loc[(person['job']=='doctor') & (person['name']=='zach'), 'age']"
what is the age of the doctor named zach?,"person.loc[(person['job']=='doctor') & (person['name']=='zach'), 'age']"
who is the person whose age is below 30?,"person.loc[lambda x: x['age'] < 30, 'name']"
what is the name of the person whose age is below 30?,"person.loc[lambda x: x['age'] < 30, 'name']"
how many people whose age is greater 30 and job is engineer?,"person.loc[(person['age'] > 30) & (person['job'] == 'engineer'), :].shape[0]"
how many engineers are older than 30?,"person.loc[(person['age'] > 30) & (person['job'] == 'engineer'), :].shape[0]"
what is the average age for each gender?,person.groupby('gender')['age'].mean()
"how old is each gender, on average?",person.groupby('gender')['age'].mean()
what is average age for different job title?,person.groupby('job')['age'].mean()
how old is the average person for each job?,person.groupby('job')['age'].mean()
what is average age of male for different job title?,person[person['gender']=='male'].groupby('job')['age'].mean()
what is the average age for a male in each job?,person[person['gender']=='male'].groupby('job')['age'].mean()
what is minimum age for different job title?,person.groupby('job')['age'].min()
how old is the youngest person for each job?,person.groupby('job')['age'].min()
find the number of people who is under 40 for each gender.,person.loc[person['age']<40].groupby(['gender']).size().reset_index(name='count')
how many people are under 40 for each gender?,person.loc[person['age']<40].groupby(['gender']).size().reset_index(name='count')
find the name of people whose age is greater than any engineer sorted by their age.,"person.loc[lambda x: x['age'] > person.loc[person['job'] == 'engineer', 'age'].min()].sort_values('age')['name']"
what is the name of all the people who are older than at least one engineer? order them by age.,"person.loc[lambda x: x['age'] > person.loc[person['job'] == 'engineer', 'age'].min()].sort_values('age')['name']"
find the number of people whose age is greater than all engineers.,"person.loc[lambda x: x['age'] > person.loc[lambda y: y['job']=='engineer', 'age'].max()].shape[0]"
how many people are older than every engineer?,"person.loc[lambda x: x['age'] > person.loc[lambda y: y['job']=='engineer', 'age'].max()].shape[0]"
"list the name, job title of all people ordered by their names.","person[['name', 'job']].sort_values('name')"
what are the names and job titles of every person ordered alphabetically by name?,"person[['name', 'job']].sort_values('name')"
find the names of all person sorted in the descending order using age.,"person.sort_values('age', ascending=false)['name']"
what are the names of everybody sorted by age in descending order?,"person.sort_values('age', ascending=false)['name']"
find the name and age of all males in order of their age.,person.loc[lambda x: x['gender']=='male'].sort_values('age')['name']
what is the name and age of every male? order the results by age.,person.loc[lambda x: x['gender']=='male'].sort_values('age')['name']
find the name and age of the person who is a friend of both dan and alice.,"person.merge(person_friend.loc[lambda x: x['friend']=='dan'], on='name')[['name', 'age']].merge(person_friend.loc[lambda x: x['friend']=='alice'], on='name')[['name', 'age']]"
what are the names and ages of every person who is a friend of both dan and alice?,"person.merge(person_friend.loc[lambda x: x['friend']=='dan'], on='name')[['name', 'age']].merge(person_friend.loc[lambda x: x['friend']=='alice'], on='name')[['name', 'age']]"
find the name and age of the person who is a friend of dan or alice.,"pd.merge(person, personfriend, on='name').loc[lambda x: x['friend'].isin(['dan', 'alice']), ['name', 'age']].drop_duplicates()"
what are the different names and ages of every friend of either dan or alice?,"pd.merge(person, personfriend, on='name').loc[lambda x: x['friend'].isin(['dan', 'alice']), ['name', 'age']].drop_duplicates()"
find the name of the person who has friends with age above 40 and under age 30?,"person_friend.merge(person.loc[person['age'] > 40][['name']], on='friend').merge(person.loc[person['age'] < 30][['name']], on=['name']).drop_duplicates()['name']"
what are the names of every person who has a friend over 40 and under 30?,"person_friend.merge(person.loc[person['age'] > 40][['name']], on='friend').merge(person.loc[person['age'] < 30][['name']], on=['name']).drop_duplicates()['name']"
find the name of the person who has friends with age above 40 but not under age 30?,"set(pd.merge(person, personfriend, on='name').loc[lambda x: x['friend'].isin(person.loc[lambda y: y['age'] > 40, 'name']), 'name']) - set(pd.merge(person, personfriend, on='name').loc[lambda x: x['friend'].isin(person.loc[lambda y: y['age'] < 30, 'name']), 'name'])"
what are the names of the people who are older 40 but no friends under age 30?,"set(pd.merge(person, personfriend, on='name').loc[lambda x: x['friend'].isin(person.loc[lambda y: y['age'] > 40, 'name']), 'name']) - set(pd.merge(person, personfriend, on='name').loc[lambda x: x['friend'].isin(person.loc[lambda y: y['age'] < 30, 'name']), 'name'])"
find the name of the person who has no student friends.,"person[~person['name'].isin(person.merge(person_friend, left_on='name', right_on='friend').loc[lambda x: x['job']=='student', 'name_x'])]['name']"
what are the names of the people who have no friends who are students?,"person[~person['name'].isin(person.merge(person_friend, left_on='name', right_on='friend').loc[lambda x: x['job']=='student', 'name_x'])]['name']"
find the person who has exactly one friend.,personfriend.groupby('name').filter(lambda x: len(x) == 1)['name']
what are the names of everybody who has exactly one friend?,personfriend.groupby('name').filter(lambda x: len(x) == 1)['name']
who are the friends of bob?,"personfriend.merge(person.loc[lambda x: x['name']=='bob'], on='name')['friend']"
who are bob's friends?,"personfriend.merge(person.loc[lambda x: x['name']=='bob'], on='name')['friend']"
find the name of persons who are friends with bob.,"pd.merge(df_person, df_personfriend, on='name').loc[lambda x: x['friend']=='bob', 'name']"
what are the names of all of bob's friends?,"pd.merge(df_person, df_personfriend, on='name').loc[lambda x: x['friend']=='bob', 'name']"
find the names of females who are friends with zach,"pd.merge(person, person_friend, on='name').loc[lambda x: (x['friend']=='zach') & (x['gender']=='female'), 'name']"
what are the names of all females who are friends with zach?,"pd.merge(person, person_friend, on='name').loc[lambda x: (x['friend']=='zach') & (x['gender']=='female'), 'name']"
find the female friends of alice.,"pd.merge(personfriend.loc[lambda x: x['name']=='alice'], person.loc[lambda x: (x['gender']=='female') & (x['name']==personfriend.loc[lambda x: x['name']=='alice', 'friend'].iloc[0])], left_on='friend', right_on='name')['friend']"
what are all the friends of alice who are female?,"pd.merge(personfriend.loc[lambda x: x['name']=='alice'], person.loc[lambda x: (x['gender']=='female') & (x['name']==personfriend.loc[lambda x: x['name']=='alice', 'friend'].iloc[0])], left_on='friend', right_on='name')['friend']"
find the male friend of alice whose job is a doctor?,"pd.merge(personfriend.loc[lambda x: x['name']=='alice'], person.loc[(person['gender']=='male') & (person['job']=='doctor')], left_on='friend', right_on='name')['friend']"
who are the friends of alice that are doctors?,"pd.merge(personfriend.loc[lambda x: x['name']=='alice'], person.loc[(person['gender']=='male') & (person['job']=='doctor')], left_on='friend', right_on='name')['friend']"
who has a friend that is from new york city?,"person.merge(person_friend, left_on='name', right_on='friend').loc[lambda x: x['city']=='new york city', 'name_y']"
what are the names of all friends who are from new york?,"person.merge(person_friend, left_on='name', right_on='friend').loc[lambda x: x['city']=='new york city', 'name_y']"
who has friends that are younger than the average age?,"person_friend.loc[person_friend['friend'].isin(person.loc[person['age'] < person['age'].mean(), 'name'].values), 'name'].unique()"
what are the different names of friends who are younger than the average age for a friend?,"person_friend.loc[person_friend['friend'].isin(person.loc[person['age'] < person['age'].mean(), 'name'].values), 'name'].unique()"
who has friends that are older than the average age? print their friends and their ages as well,"person.merge(person_friend, left_on='name', right_on='friend').loc[lambda x: x['age_x'] > person['age'].mean(), ['name_y', 'friend', 'age_x']].rename(columns={'name_y':'name'}).drop_duplicates()"
"whare the names, friends, and ages of all people who are older than the average age of a person?","person.merge(person_friend, left_on='name', right_on='friend').loc[lambda x: x['age_x'] > person['age'].mean(), ['name_y', 'friend', 'age_x']].rename(columns={'name_y':'name'}).drop_duplicates()"
who is the friend of zach with longest year relationship?,"personfriend.loc[lambda x: (x['name']=='zach')&(x['year']==personfriend.loc[lambda y: y['name']=='zach', 'year'].max()), 'friend']"
which friend of zach has the longest-lasting friendship?,"personfriend.loc[lambda x: (x['name']=='zach')&(x['year']==personfriend.loc[lambda y: y['name']=='zach', 'year'].max()), 'friend']"
what is the age of the friend of zach with longest year relationship?,"person.loc[lambda x: x['name'].isin(person_friend.loc[(person_friend['name'] == 'zach') & (person_friend['year'] == person_friend.loc[lambda y: y['name'] == 'zach', 'year'].max()), 'friend']), 'age']"
what are the ages of all of zach's friends who are in the longest relationship?,"person.loc[lambda x: x['name'].isin(person_friend.loc[(person_friend['name'] == 'zach') & (person_friend['year'] == person_friend.loc[lambda y: y['name'] == 'zach', 'year'].max()), 'friend']), 'age']"
find the name of persons who are friends with alice for the shortest years.,"personfriend.loc[lambda x: (x['friend'] == 'alice') & (x['year'] == personfriend.loc[lambda y: y['friend'] == 'alice', 'year'].min()), 'name']"
what are the names of all people who are friends with alice for the shortest amount of time?,"personfriend.loc[lambda x: (x['friend'] == 'alice') & (x['year'] == personfriend.loc[lambda y: y['friend'] == 'alice', 'year'].min()), 'name']"
"find the name, age, and job title of persons who are friends with alice for the longest years.","person.merge(personfriend.query(""friend == 'alice' and year == (select max(year) from personfriend where friend == 'alice')""), on='name')[['name', 'age', 'job']]"
"what are the names, ages, and jobs of all people who are friends with alice for the longest amount of time?","person.merge(personfriend.query(""friend == 'alice' and year == (select max(year) from personfriend where friend == 'alice')""), on='name')[['name', 'age', 'job']]"
who is the person that has no friend?,person[~person['name'].isin(personfriend['name'])]['name']
what are the names of all people who do not have friends?,person[~person['name'].isin(personfriend['name'])]['name']
which person whose friends have the oldest average age?,"person.merge(personfriend, left_on='name', right_on='friend').groupby('name_y').agg({'age': 'mean'}).sort_values('age', ascending=false).iloc[0]"
"what is the name of the person who has the oldest average age for their friends, and what is that average age?","person.merge(personfriend, left_on='name', right_on='friend').groupby('name_y').agg({'age': 'mean'}).sort_values('age', ascending=false).iloc[0]"
what is the total number of people who has no friend living in the city of austin.,"personfriend.loc[~personfriend['friend'].isin(person.loc[person['city']=='austin', 'name']), 'name'].nunique()"
what is the total number of people who have no friends living in austin?,"personfriend.loc[~personfriend['friend'].isin(person.loc[person['city']=='austin', 'name']), 'name'].nunique()"
find alice's friends of friends.,"(pd.merge(pd.merge(pd.merge(person_friend, person, left_on='name', right_on='name'), person_friend, left_on='friend', right_on='name'), person_friend, left_on='friend_y', right_on='name').loc[lambda x: (x['name_x']=='alice')&(x['name_y']!='alice'), 'name'])"
what are the names of all of alice's friends of friends?,"(pd.merge(pd.merge(pd.merge(person_friend, person, left_on='name', right_on='name'), person_friend, left_on='friend', right_on='name'), person_friend, left_on='friend_y', right_on='name').loc[lambda x: (x['name_x']=='alice')&(x['name_y']!='alice'), 'name'])"
how many members are there?,member.shape[0]
list the names of members in ascending alphabetical order.,member.sort_values('name')['name']
what are the names and countries of members?,"member[['name', 'country']]"
"show the names of members whose country is ""united states"" or ""canada"".","member.loc[lambda x: x['country'].isin(['united states', 'canada']), 'name']"
show the different countries and the number of members from each.,member.groupby('country').size().reset_index(name='count')
show the most common country across members.,member.groupby('country').size().sort_values(ascending=false).index[0]
which countries have more than two members?,member.groupby('country').filter(lambda x: len(x) > 2)['country'].unique()
show the leader names and locations of colleges.,"college[['leader_name', 'college_location']]"
show the names of members and names of colleges they go to.,"pd.merge(college, member, on='college_id')[['name_x', 'name_y']]"
show the names of members and the locations of colleges they go to in ascending alphabetical order of member names.,"pd.merge(college, member, on='college_id').sort_values('name')[['name', 'college_location']]"
"show the distinct leader names of colleges associated with members from country ""canada"".","pd.merge(college, member, on='college_id').loc[lambda x: x['country']=='canada', 'leader_name'].unique()"
show the names of members and the decoration themes they have.,"pd.merge(member, round, on='member_id')[['name', 'decoration_theme']]"
show the names of members that have a rank in round higher than 3.,"pd.merge(member, round, on='member_id').loc[lambda x: x['rank_in_round'] > 3, 'name']"
show the names of members in ascending order of their rank in rounds.,"pd.merge(member, round, on='member_id').sort_values('rank_in_round')['name']"
list the names of members who did not participate in any round.,"member.loc[~member['member_id'].isin(round['member_id']), 'name']"
"find the name and access counts of all documents, in alphabetic order of the document name.","documents[['document_name', 'access_count']].sort_values('document_name')"
"what are the names of all the documents, as well as the access counts of each, ordered alphabetically?","documents[['document_name', 'access_count']].sort_values('document_name')"
"find the name of the document that has been accessed the greatest number of times, as well as the count of how many times it has been accessed?","documents[['document_name', 'access_count']].sort_values('access_count', ascending=false).iloc[0]"
"what is the name of the document which has been accessed the most times, as well as the number of times it has been accessed?","documents[['document_name', 'access_count']].sort_values('access_count', ascending=false).iloc[0]"
find the types of documents with more than 4 documents.,documents.groupby('document_type_code').filter(lambda x: len(x) > 4)['document_type_code'].unique()
what are the codes of types of documents of which there are for or more?,documents.groupby('document_type_code').filter(lambda x: len(x) > 4)['document_type_code'].unique()
find the total access count of all documents in the most popular document type.,documents.groupby('document_type_code')['access_count'].sum().nlargest(1)
what is the total access count of documents that are of the most common document type?,documents.groupby('document_type_code')['access_count'].sum().nlargest(1)
what is the average access count of documents?,documents['access_count'].mean()
find the average access count across all documents?,documents['access_count'].mean()
what is the structure of the document with the least number of accesses?,"pd.merge(documents, document_structures, on='document_structure_code').groupby('document_structure_description').size().sort_values(ascending=false).index[0]"
return the structure description of the document that has been accessed the fewest number of times.,"pd.merge(documents, document_structures, on='document_structure_code').groupby('document_structure_description').size().sort_values(ascending=false).index[0]"
"what is the type of the document named ""david cv""?","documents.loc[lambda x: x['document_name']=='david cv', 'document_type_code']"
"return the type code of the document named ""david cv"".","documents.loc[lambda x: x['document_name']=='david cv', 'document_type_code']"
find the list of documents that are both in the most three popular type and have the most three popular structure.,"documents.groupby('document_type_code').count().sort_values(by='document_name', ascending=false).iloc[:3].reset_index()['document_name'].to_frame().merge(documents.groupby('document_structure_code').count().sort_values(by='document_name', ascending=false).iloc[:3].reset_index()['document_name'].to_frame()).drop_duplicates()['document_name']"
what are the names of documents that have both one of the three most common types and one of three most common structures?,"documents.groupby('document_type_code').count().sort_values(by='document_name', ascending=false).iloc[:3].reset_index()['document_name'].to_frame().merge(documents.groupby('document_structure_code').count().sort_values(by='document_name', ascending=false).iloc[:3].reset_index()['document_name'].to_frame()).drop_duplicates()['document_name']"
what document types do have more than 10000 total access number.,documents.groupby('document_type_code').filter(lambda x: x['access_count'].sum() > 10000)['document_type_code'].unique()
return the codes of the document types that do not have a total access count of over 10000.,documents.groupby('document_type_code').filter(lambda x: x['access_count'].sum() > 10000)['document_type_code'].unique()
"what are all the section titles of the document named ""david cv""?","document_sections.merge(documents[documents['document_name']=='david cv'], on='document_code')['section_title']"
"give the section titles of the document with the name ""david cv"".","document_sections.merge(documents[documents['document_name']=='david cv'], on='document_code')['section_title']"
find all the name of documents without any sections.,"documents.loc[~documents['document_code'].isin(document_sections['document_code']), 'document_name']"
what are the names of documents that do not have any sections?,"documents.loc[~documents['document_code'].isin(document_sections['document_code']), 'document_name']"
list all the username and passwords of users with the most popular role.,"users.groupby('role_code').agg({'user_name': 'first', 'password': 'first'}).reset_index().sort_values(by='role_code', ascending=false).nlargest(1, columns='role_code')[['user_name', 'password']]"
what are the usernames and passwords of users that have the most common role?,"users.groupby('role_code').agg({'user_name': 'first', 'password': 'first'}).reset_index().sort_values(by='role_code', ascending=false).nlargest(1, columns='role_code')[['user_name', 'password']]"
"find the average access counts of documents with functional area ""acknowledgement"".","pd.merge(pd.merge(documents, document_functional_areas, on='document_code'), functional_areas, on='functional_area_code').loc[lambda x: x['functional_area_description']=='acknowledgement', 'access_count'].mean()"
"what are the average access counts of documents that have the functional area description ""acknowledgement""?","pd.merge(pd.merge(documents, document_functional_areas, on='document_code'), functional_areas, on='functional_area_code').loc[lambda x: x['functional_area_description']=='acknowledgement', 'access_count'].mean()"
find names of the document without any images.,"documents['document_name'].loc[~documents['document_code'].isin(document_sections.merge(document_sections_images, on='section_id')['document_code'].unique())]"
what are the names of documents that do not have any images?,"documents['document_name'].loc[~documents['document_code'].isin(document_sections.merge(document_sections_images, on='section_id')['document_code'].unique())]"
